Word,Definition,Example
derelict,"abandoned, run down","The derelict ship just drifted in the harbor, waiting to be boarded by the curious."
deride,"to mock, scorn",The sixth graders proved to be bullies and derided the third and fourth graders.
derivative,"taken directly from a source, unoriginal","His scowling countenance is a derivative of his paternal lineage, claimed his mom."
desecrate,to violate the sacredness of a thing or place,The pagans desecrated the temple by challenging the priests to duels and fistfights.
desiccated,"dried up, dehydrated",The desiccated remains of the Egyptian mummy can still strike amazement into the hearts of westerners.
desolate,"deserted, dreary, lifeless","The desert, especially at night, seems to be the most desolate place on Earth."
despondent,"feeling depressed, discouraged, hopeless",Geraldine became completely despondent when the news of the accident came.
despot,one who has total power and rules brutally,The despot used threats of death and torture to control his citizenry.
destitute,"impoverished, utterly lacking",The tornadoes destroyed many homes and left every family destitute and poor.
deter,"to discourage, prevent from doing",Nothing can deter an attacking lion once its victim has been chosen.
devious,"not straightforward, deceitful","Wanting to avoid punishment, the devious teen blamed the broken cup on his sister."
dialect,a variation of a language,The southerners were given away as their dialect announced they weren't from Maine.
diaphanous,"light, airy, transparent",Diaphanous garbs in summer can help anyone get an authentic tan over time.
didactic,"a) intended to instruct, b) overly moralistic",a) She became very didactic once the students revealed their many needs. b) Few people appreciated didactic stories that preach and don't also entertain.
diffident,"shy, quiet, modest",The diffident young man did not speak during introductions for his constant fear of seeming too audacious.
diffuse,"a) to scatter, thin out, break up, b) not concentrated, scattered or disorganized","a) Claude diffused the tension in the house by telling one of his creative anecdotes. b) Martha tried desperately to explain her diffuse thought process, but to no avail."
dilatory,"tending to delay, causing delay",Wise parents learn dilatory tactics to avoid giving unrehearsed answers to teens.
diligent,showing care and doing one's work,"The diligent researcher checked and rechecked the data, ensuring it was valid."
diminutive,small or miniature,"The bullies, big and ill-tempered, picked on the diminutive children all the time."
dirge,"a mournful song, especially for a funeral",The singer sang a dirge as the casket was carried slowly to its place of rest.
disaffected,"rebellious, resentful of authority","The disaffected soldier ignored his orders, slipped into the night, and left his company to battle without him."
disavow,to deny knowledge of or responsibility for,"When spies are caught, their respective governments will disavow any knowledge of their actions."
discern,"to perceive, detect",It is extremely difficult to discern subtle messages when they are contained in foreign tongues.
disclose,"to reveal, make public",The CEO was required to disclose all documents related to their latest European purchase.
discomfit,"to thwart, baffle",The interrogators attempted to discomfit their prisoners so that information could be gained.
discordant,"not agreeing, not in harmony with","When the beginning band started to play, the discordant sounds flooded the room like a noisy cloud."
discrepancy,"difference, failure of things to correspond",The discrepancy in the cost figures caused the principals to fear the upcoming audit.
discretion,"the quality of being reserved in speech or action, good judgment",I will leave it to your discretion as to whether or not to invite the new girl; she seems a bit suspect.
discursive,"rambling, lacking order",Bob's speech became discursive after the hecklers started to yell their disapproval.
disdain,"a) to scorn, hold in lowest esteem, b) scorn, lowest esteem",a) Intolerant people tend to disdain all those who disagree with them. b) I hold all irresponsible abuses of power in great disdain.
disgruntled,"upset, not content",Jackie became totally disgruntled when her fiancé forgot the anniversary of their first date.
disheartened,feeling a loss of spirit or morale,The team became sorely disheartened when the other team scored five runs in a row.
disparage,to criticize or speak ill of,Usually insecure people try to disparage the efforts of others.
disparate,"sharply differing, containing sharply contrasting elements","Because of the presence of disparate elements, it was difficult to identify the substance with certainty."
dispatch,to send off to accomplish a duty,The commander dispatched a lone soldier to carry the message of surrender to their opponents.
dispel,"to drive away, scatter",It's hard to dispel the notions that become a part of you in childhood.
disperse,"to scatter, cause to scatter",It was our mission to disperse the rowdy crowd before violence could escalate.
disrepute,a state of being held in low regard,"Bad behavior, even if it's just intermittent, will cause one to fall into disrepute."
dissemble,"to conceal, fake","The lying witness tried to dissemble the facts; however, the clever attorney trapped him easily."
disseminate,to spread widely,The teacher gave the papers to the student to disseminate to her classmates.
dissent,"a) to disagree, b) the act of disagreeing","a) I must dissent, gentlemen; this simply cannot be. b) After the dissent was registered, everyone knew it was going to be a long night."
dissipate,"a) to disappear, cause to disappear, b) to waste","a) The sun finally came out and the fog dissipated like smoke. b) Thanks to a card game, Joe's paycheck was dissipated in less than an hour."
dissonance,lack of harmony or consistency,There was a remarkable dissonance between what Jasper said and what Jasper did.
dissuade,to persuade someone not to do something,"Gloria tried to dissuade him from going out in such bad weather, but he went anyway."
distend,to swell out,The malnourished children's stomachs begin to distend when their hunger approaches starvation.
dither,to be indecisive,The many options before him caused him to dither on his choices.
divine,"godly, exceedingly wonderful",Our plight was such that only divine intervention was going to make a difference.
divisive,"causing dissent, discord",Theo was disciplined because his comments were deemed divisive by his employers.
divulge,to reveal something secret,"Under pressure, the frightened captive started to divulge all he knew."
docile,easily taught or trained,Some sharks are docile; others are very aggressive.
dogmatic,aggressively and arrogantly sure about one's principles,"Because of his personal connections with the group, he was very dogmatic about their innocence."
dormant,asleep or temporarily inactive,"The medication caused the virus to become dormant, thus it could no longer be transmitted to others."
dour,"stern, joyless","The counselor was a dour fellow indeed, finding nothing whatsoever to laugh about or even smile about."
dubious,"doubtful, of uncertain quality","I heard his story; however, I remain somewhat dubious as to its truth."
duplicity,crafty dishonesty,"Super spies must deal in duplicity in all of their contacts, lest they be found out and dealt with."
duress,"hardship, threat","The lawyer was able to convince the jury that his client only committed the offense because of the extreme duress he was under, thanks to the victim."
dynamic,"actively changing, powerful","Learning, according to educators, is a dynamic process that must be seen and understood in that light."
ebullient,"extremely lively, enthusiastic","Because Ken was so ebullient in his manner, his party turned out to be the most fun of them all."
eclectic,consisting of a diverse variety of elements,The freshmen this year are so eclectic that they constantly find fascination with every new set of objects and consequently change their majors to match.
ecstatic,intensely and overpoweringly happy,"I was ecstatic when the news came about the graduation of my eldest son, Dr. Raymond L. Johnson."
edict,"an order, decree","When the king's edict was read, the malcontents in his kingdom began to slowly disappear until not one was left."
efface,"to wipe out, obliterate, rub away","Because the letter was offensive to all who read it, every word of it was effaced."
effervescent,"bubbly, lively",The effervescent spirit of the cheerleaders was truly infectious; everyone was screaming and shouting through the whole game.
efficacious,effective,The compound proved to be quite efficacious; every patient recovered almost instantly.
effrontery,"impudence, nerve, insolence",The brash teen had the effrontery to yell back at her parents when she knew full well that she was in the wrong.
effulgent,"radiant, splendorous","The monarch's new palace, made of gold and silver, was the most effulgent structure ever constructed."
egregious,extremely bad,Tammy's behavior was so egregious that she was thrown off the team that very hour.
elaborate,"complex, detailed, intricate",Pyramids are designed with very elaborate pathways designed to trap would-be robbers.
elated,"overjoyed, thrilled",Marvin was totally elated to find out that his project won first place.
elegy,a speech given in honor of a dead person,"The widow Morgan chose to read her husband's elegy herself, feeling the message was too personal for anyone else to read."
elicit,"to bring forth, draw out, evoke",Pearson's melancholy tale was designed to elicit sympathy from all who heard it.
eloquent,"expressive, articulate, moving","As the young woman spoke, her words were so eloquent many listeners became teary-eyed."
elucidate,"to clarify, explain",Professor Jazz decided to elucidate further when he noted the blank expressions on his students' faces.
elude,"to evade, escape","To elude capture, the clever criminals waded into the river and floated with the logs."
emaciated,"very thin, underfed looking",The gaunt guitar player is the perfect example of an emaciated man.
embellish,"a) to decorate, adorn, b) to add details to, enhance",a) The last chore on Christmas Eve is to embellish the spruce pines with ribbons and bows. b) The talented speaker embellished his argument with quaint expressions that suggested he was just a regular guy running for office.
embezzle,to steal money by falsifying records,The crooked bank executive was sentenced to 20 years in prison for embezzling millions of dollars.
emend,to correct or revise a written text,Many times editors will emend the words of a script to make it have a broader appeal.
eminent,"a) distinguished, prominent, famous, b) conspicuous",a) The eminent scientist made an earth-shattering announcement at the conference. b) The malformations of Jeff's face stood out eminently when the sunlight struck at an angle.
emollient,soothing,"This emollient will make your skin as smooth as a baby's bottom, the manager said."
emote,to express emotion,"Seeing the inspiring scene for the 10th time, everyone began to emote as they'd done the first time."
empathy,sensitivity to another's feelings as if they were one's own,I have great empathy for everyone who has to go through what I faced.
empirical,"a) based on observation or experience, b) capable of being proved or disproved by experiment","a) The scientist gathered empirical data to prove that his predictions weren't baseless. b) Every word Einstein spoke was considered empirical, for the experimental proof was on the table."
emulate,to imitate,"Teens constantly emulate their idols, singing and dancing as much like them as their modest abilities will allow."
enamor,"to fill with love, to fascinate","Usually used with ""of"" or ""with."" The husband-hunting women sought to enamor the eligible bachelors with their smiles and seductive movement."
encore,a repeat performance at the audience's insistence,Encore! Encore! the crazed fan screamed over and over again.
encumber,"to weigh down, burden","Trying not to encumber my parents further, I chose not to tell them about my lost job."
enervate,"to weaken, exhaust",The marathoners languishing in the heat were completely enervated after the 10th mile.
enfranchise,to grant the vote to,The 15th Amendment enfranchised those who would rather not admit their guilt in a court of law.
engender,"to bring about, create, generate","Trying to engender strife among the groups of voters, the devilish candidate sabotaged one group and blamed it on the other."
enigmatic,"mystifying, cryptic",The inscriptions of the monolith were so enigmatic our best linguists couldn't decipher them.
enmity,"ill will, hatred, hostility",The opposing parties felt such enmity for one another they could not bear so much as the mentioning of the other's name.
ennui,"boredom, weariness",I felt such ennui that I colored my bedroom brown and threw all of my flowers out of the window.
entail,to include as a necessary step,"Genuine success entails many elements, the least of which is not solid conviction."
enthrall,"to charm, hold spellbound","Enthralled with her beauty, the young man didn't notice her ill temper."
ephemeral,"short-lived, fleeting",Physical beauty is ephemeral at best; it lasts only as long as your youth.
epistolary,relating to or contained in letters,One of the chief epistolary writings of Paul is the Book of Romans.
epitome,"a perfect example, embodiment","The running back for Miami was the epitome of athleticism, being fast, agile, and strong."
equanimity,composure,Glenn maintained his equanimity even in the face of terrible accusations against him.
equivocal,"ambiguous, uncertain, undecided",Politicians usually give equivocal answers to difficult questions.
erudite,learned,My physics teacher is such an erudite scholar that she has calculated in her head the distance from each planet relative to the Earth.
eschew,"to shun, avoid",Good men must learn to cherish the right things and eschew the wrong.
esoteric,understood by only a select few,Even the most gifted students can't fully fathom the esoteric nature of existence itself.
espouse,"to take up as a cause, support",Constantly we should all espouse the virtues of honesty and integrity to our children.
ethereal,"heavenly, exceptionally delicate or refined",The maiden's elegant attire and otherworldly expressions struck everyone as somewhat ethereal.
etymology,"the history of words, their origin and development","From my study of the etymology of terms, I now know that the word ""Herculean"" derives from the Greek myth of Hercules, the son of Zeus."
euphoric,"elated, uplifted","Young lovers tend to become euphoric about the object of their desire, not seeing any flaws in them that may be obvious to others."
evanescent,"fleeting, momentary","All life on this earth is most evanescent, appearing like a vapor, then vanishing away."
evince,"to show, reveal",The lecturer's endless address evinced his lifelong passion for his subject.
exacerbate,"to make more violent, intense",Mrs. Johnston exacerbated her problem by lying about what she'd done.
exalt,"to glorify, praise","Our youth should be taught to exalt important things in life: the elderly, civil conduct, and moral laws."
exasperate,"to irritate, irk",Thomas's constant excuses exasperated his teacher beyond measure.
excerpt,a passage taken from a larger work,The teacher read an excerpt from Shakespeare's Hamlet.
exculpate,to clear of guilt or blame,The new evidence exculpated the defendant.
execrate,"to denounce, curse",The villagers execrated the tyrant who had oppressed them.
exemplary,"serving as an example, outstanding",Her exemplary behavior earned her the Student of the Year award.
exonerate,to free from blame,DNA evidence exonerated the man after twenty years in prison.
exorbitant,"excessive, unreasonably high",The exorbitant prices at the tourist trap discouraged customers.
exotic,"foreign, unusual",The restaurant served exotic dishes from around the world.
expedient,"convenient, practical",It would be expedient to leave early to avoid traffic.
expedite,"to speed up, facilitate",We need to expedite the shipping process.
expiate,to make amends for,He tried to expiate his sins through charitable work.
explicit,"clearly expressed, unambiguous",The instructions were explicit about what to do.
exploit,"a) to take advantage of, b) a notable achievement",a) The company was accused of exploiting its workers. b) The soldier's exploits became legendary.
extol,to praise highly,The coach extolled the team's perseverance.
extraneous,"irrelevant, not essential",Please remove all extraneous information from the report.
extrapolate,to project or infer from known data,Scientists extrapolated future climate trends from current data.
extricate,to free from difficulty,It took hours to extricate the car from the mud.
exuberant,joyfully enthusiastic,The exuberant children ran through the park laughing.
fabricate,"to make up, construct",He fabricated an excuse for being late.
facetious,playfully humorous,His facetious comments lightened the mood.
facilitate,to make easier,Technology facilitates communication across distances.
faction,a small dissenting group within a larger one,A faction within the party opposed the new policy.
fallacious,containing a logical error,His argument was fallacious from start to finish.
fallible,capable of making mistakes,Even experts are fallible and can be wrong.
fallow,plowed but not planted,The field lay fallow for a season to replenish nutrients.
fastidious,very attentive to detail,She was fastidious about keeping her workspace organized.
fatalism,the belief that events are predetermined,His fatalism led him to accept whatever happened.
fathom,"to understand deeply, measure depth",I cannot fathom why he made that decision.
fauna,animal life of a region,The Galapagos Islands have unique fauna.
fawn,"a) a young deer, b) to seek favor by excessive flattery",a) The fawn followed its mother through the forest. b) The assistant fawned over the boss.
feckless,lacking purpose or vitality,The feckless youth wasted his time on trivial pursuits.
fecund,"highly productive, fertile",The fecund soil yielded abundant crops.
feign,to pretend,She feigned illness to avoid the meeting.
feint,a deceptive movement,The boxer used a feint to confuse his opponent.
fervent,"passionate, intense",She was a fervent supporter of environmental causes.
fervid,intensely passionate,His fervid speech inspired the crowd.
fervor,"intense emotion, zeal",Religious fervor swept through the congregation.
fetter,"to restrain, chain",The prisoner's feet were fettered with iron chains.
fickle,"changeable, not constant",The weather is fickle in early spring.
figment,something invented or imagined,The ghost was just a figment of her imagination.
finesse,"skill, delicacy",He handled the situation with great finesse.
fissure,a crack or split,A fissure appeared in the rock after the earthquake.
flabbergasted,"astonished, amazed",I was flabbergasted by the unexpected news.
flagrant,obviously offensive,The flagrant violation of rules resulted in expulsion.
flaunt,to show off,She flaunted her new diamond ring.
fledgling,"a) a young bird, b) inexperienced",a) The fledgling took its first flight. b) The fledgling company struggled in its first year.
florid,"ornate, flowery",His florid prose was difficult to read.
flounder,to struggle helplessly,The student floundered with the difficult math problem.
flourish,"to thrive, grow vigorously",The plants flourished in the greenhouse.
flout,"to scorn, disregard",He flouted the school's dress code.
fluctuate,to vary irregularly,Stock prices fluctuate daily.
fluke,an accidentally successful outcome,Winning the lottery was a complete fluke.
flux,continuous change,The organization was in a state of flux.
foible,a minor character flaw,Everyone has their foibles and quirks.
foil,"a) to prevent from succeeding, b) a contrasting element",a) The hero foiled the villain's plot. b) His calm demeanor was a foil to her excitability.
foment,"to stir up, incite",The protesters tried to foment rebellion.
foolhardy,recklessly bold,It was foolhardy to climb the mountain without proper equipment.
foppish,excessively concerned with appearance,His foppish manner made him seem vain.
foray,a sudden attack or raid,The company made its first foray into international markets.
forbear,to refrain from,Please forbear from making critical comments.
foreboding,a sense of impending evil,She had a foreboding that something bad would happen.
forensic,relating to legal proceedings,Forensic evidence proved crucial to the case.
foreshadow,to indicate beforehand,The dark clouds foreshadowed the coming storm.
forestall,to prevent by taking action in advance,We must forestall any potential problems.
formidable,inspiring fear or respect,The team faced a formidable opponent.
forsake,"to abandon, renounce",He forsook his old ways and started anew.
forte,a person's strong point,Mathematics is her forte.
forthright,"direct, straightforward",I appreciate your forthright honesty.
fortitude,strength in adversity,She showed great fortitude during her illness.
fortuitous,"happening by chance, lucky",Our meeting was purely fortuitous.
foster,"to encourage, promote",Teachers should foster creativity in students.
founder,"to fail, sink",The business foundered during the recession.
fractious,"quarrelsome, unruly",The fractious debate lasted for hours.
fraught,filled with,The situation was fraught with danger.
frenetic,"frantic, frenzied",The office had a frenetic pace before the deadline.
frivolous,lacking seriousness,The judge dismissed the frivolous lawsuit.
frugal,"economical, thrifty",Her frugal lifestyle allowed her to save money.
fruition,"realization, accomplishment","After years of work, the project came to fruition."
fulminate,to denounce loudly,The senator fulminated against the proposed legislation.
fulsome,"excessive, insincere",His fulsome praise seemed disingenuous.
furtive,"stealthy, secretive",He cast a furtive glance around the room.
futile,"useless, ineffective",Their attempts to save the building were futile.
gainsay,"to deny, contradict",No one could gainsay the truth of her statement.
galvanize,to stimulate into action,The speech galvanized the troops.
gambit,a strategic move,The opening gambit in negotiations was bold.
gamut,the entire range,The performance ran the gamut of emotions.
garner,"to gather, accumulate",The film garnered critical acclaim.
garrulous,excessively talkative,The garrulous neighbor talked for hours.
gauche,socially awkward,His gauche behavior embarrassed everyone.
germane,"relevant, pertinent",Please keep your comments germane to the topic.
gestation,the period of development,Ideas require a gestation period before implementation.
glean,to gather bit by bit,We gleaned information from various sources.
glib,fluent but insincere,His glib response didn't convince anyone.
glut,an oversupply,There was a glut of products on the market.
goad,"to provoke, urge on",Don't let him goad you into an argument.
grandiloquent,"pompous, bombastic",The politician's grandiloquent speech impressed no one.
gratuitous,"unnecessary, unwarranted",The film's gratuitous violence was disturbing.
gregarious,"sociable, enjoying company",She's naturally gregarious and makes friends easily.
grievous,causing grief or pain,The accident left him with grievous injuries.
grimace,a facial expression of pain or disgust,He grimaced at the bitter taste.
grouse,to complain,Stop grousing about the weather.
grovel,to humble oneself excessively,I won't grovel for forgiveness.
guile,"cunning, deceit",The con artist used guile to trick his victims.
guileless,"innocent, naive",Her guileless nature made her vulnerable.
gullible,easily deceived,Gullible tourists were easy targets for scams.
gustatory,relating to the sense of taste,The wine tasting was a gustatory delight.
hackneyed,"overused, trite",The movie relied on hackneyed plot devices.
hallow,to make holy,The memorial hallowed the ground where heroes fell.
hapless,"unlucky, unfortunate",The hapless victim never saw it coming.
harangue,"a long, aggressive speech",The coach's harangue motivated the team.
harbinger,"a forerunner, omen",The robin is a harbinger of spring.
hardy,"robust, capable of surviving difficult conditions",Hardy plants can withstand frost.
harrowing,extremely distressing,She recounted her harrowing escape.
haughty,"arrogant, disdainful",Her haughty manner alienated potential friends.
haven,a place of safety,The library was a haven from the chaos outside.
heed,to pay attention to,Please heed the warning signs.
hegemony,dominance of one group over others,The empire sought hegemony over the region.
heinous,"shockingly wicked, repugnant",The killings were of such a heinous nature details were withheld from the public.
heterogeneous,"varied, diverse in character","Because we were placed in heterogeneous groupings, variety was all we knew from day one."
hiatus,a break or gap in duration or continuity,Benjamin's hiatus lasted so long everyone concluded that he wasn't planning to ever return.
hierarchy,a system with ranked groups,"In the American system of hierarchy and power, civil authorities are placed above military authorities, but not by much."
hypocrisy,pretending to believe what one does not,It's very difficult for men given to truth to tolerate the hypocrisy that liars engage in daily.
hypothetical,supposed or assumed true but unproven,Many times the hypothetical enters the realm of the real when understanding matures.
iconoclast,one who attacks commonly held beliefs or institutions,"John protests everything that the establishment offers, in true iconoclastic style."
idiosyncratic,"peculiar to one person, highly individualized",Joshua's idiosyncratic behavior identifies him as the only living descendant of Crazy John Maddox.
idolatrous,excessively worshiping one object or person,The undying devotion that modern-day kids have for rock stars and athletes is nothing shy of idolatrous.
ignominious,"humiliating, disgracing",What they did to that baby was the most ignominious act I'd ever heard of or even imagined.
illicit,"forbidden, not permitted",The pipes and other paraphernalia found in that house were deemed illicit by the investigating officers.
immerse,"to absorb deeply, involve in, engross","To master a foreign tongue, one must immerse oneself in it for an extended period of time."
immutable,"a) not changeable, b) stoic, not susceptible to suffering","a) The laws of physics are immutable and constant, never able to be changed or altered in the least. b) The Eastern philosophies espouse truths that empower one to become immutable."
impeccable,"exemplary, flawless","His driving record is impeccable, having no marks for moving violations or even parking tickets."
impecunious,desperately poor,"All of the impecunious children sat on the sides of the streets of their impoverished village, searching for but finding no kindness from the passersby."
imperative,"a) necessary, pressing, b) a rule, command, or order",a) It is absolutely imperative that you take the pills according to the directions on the bottle. b) The commander issued an imperative that every soldier must be present and accounted for by 1800 hours.
imperious,"commanding, domineering","General Thurman had the most imperious presence the interloper had ever encountered, thus they cowed when he spoke."
impertinent,"rude, insolent",Most of your comments were dismissed because they were at best impertinent and at worst unfounded and wrong.
impervious,"impenetrable, incapable of being affected",The new armor is impervious to any and all attacks by modern weaponry.
impetuous,"rash, hastily done",Harriet's hasty words were the product of her impetuous nature.
impinge,"a) to impact, affect, make an impression, b) to encroach, infringe","a) Harold's act of heroism truly impinged all who witnessed it, exhorting them to do likewise. b) Pauline's need for space started to impinge on the space that clearly belonged to her coworkers."
implacable,incapable of being appeased or mitigated,"The combatants were so taken by their bloodlust, each was altogether implacable."
implement,"a) an instrument, utensil, tool, b) to put into effect, to institute",a) The surgeon ensured that all of his implements were thoroughly sterile. b) The high-tech company decided to implement new security protocols.
implicit,"understood but not outwardly obvious, implied",There was an implicit message behind Mr. Brooken's well-crafted words: get busy or get out.
impregnable,resistant to capture or penetration,Fort Lee was thought to be impregnable until an enemy tank bulldozed through its stone gate.
impudent,"casually rude, insolent, impertinent",It never ceases to amaze me how today's young people can be so impudent to their elders.
impute,to ascribe blame,The conference-winning coach chose to impute to his players the total credit for their victories.
inane,silly and meaningless,"The comic's jokes were completely inane, appealing more to 12-year-olds than adults."
inarticulate,incapable of expressing oneself clearly through speech,"Because the inventor was so inarticulate, she just used pictures and spokespeople to make her pitch."
incarnate,"a) existing in the flesh, embodied, b) to give human form to","a) That beast was fury and death incarnate, clawing and biting at anything that moved. b) Sharon's desire for love was so real she incarnated it and gave it a name."
incendiary,"a) a person who agitates, b) inflammatory, causing combustion",a) Dan's gossipy habits earned him the reputation as an incendiary. b) Gasoline is the most incendiary liquid on the market.
incessant,unending,The baby's incessant crying drove the young mother to the brink of a nervous breakdown.
inchoate,"unformed or formless, in a beginning stage",The inchoate form of an embryo causes some to mistakenly conclude that it's not a viable being at all.
incisive,"clear, sharp, direct",Plato's incisive questions caused both debaters to get straight to the point they needed to make.
inclination,"a tendency, propensity",Susan had an inclination to drop her chemistry class but fortunately changed her mind.
incontrovertible,indisputable,The prosecutor's evidence was incontrovertible; the defendant was guilty without doubt.
incorrigible,"incapable of correction, delinquent","When young people are allowed to break rules with impunity, they will certainly become incorrigible."
increment,"an enlargement, the process of increasing","The floodwaters grew in increments, increasing with each successive dam burst."
incumbent,"a) one who holds an office, b) obligatory","a) During wartime, an incumbent candidate always has an edge on anyone else running. b) It's morally incumbent upon all who are financially able to help those who are not."
indefatigable,"incapable of defeat, failure, decay","Even after jogging the uphill route, the indefatigable runner kept on going to the finish line."
indigenous,originating in a region,"When invasive species come into any area, the indigenous life forms will be threatened."
indigent,"very poor, impoverished","Many of those holding their ""will work for food"" signs are truly indigent, having only the clothes on their backs."
indignation,anger sparked by something unjust or unfair,I resigned from my father's fraternity because of my indignation at its hazing practices.
indolent,"lazy, slothful",Offering indolent people a real job is a total waste of time.
indomitable,not capable of being conquered,The Miami Heat was truly an indomitable team during the 2010 to 2011 season.
induce,"to bring about, stimulate","The doctor said, ""Don't induce vomiting; just drink plenty of water."""
ineffable,"unspeakable, not able to be expressed in words",The scene of the Nile Valley in spring left me speechless; it was truly ineffable.
inept,"unsuitable or incapable, not qualified","Carlos demonstrated that he was indeed an inept singer, hitting sour note after sour note in his solo."
inexorable,incapable of being persuaded or placated,"The inexorable march of the troops, with their minds fixed on vengeance, led them headlong to their own disaster."
inextricable,hopelessly tangled or entangled,"Understanding is an inextricable component of true wisdom, taught Professor Sage."
infamy,"notoriety, extreme ill repute",The infamy of the Jesse and Frank James Gang lives to this very day.
infusion,an injection of one substance into another,"The economy needs a major and rapid infusion of flowing, spendable cash."
ingenious,"clever, resourceful","The general was the most ingenious of all the battle leaders, figuring out his enemies' tactics and thwarting them on every turn."
ingenuous,"not devious, innocent and candid",The young man's plea was so heart-wrenching that his ingenuous character could not be denied.
inhibit,"to prevent, restrain, stop",An unnutritious diet will at some point inhibit a person's good health.
inimical,"hostile, enemy-like",The inimical undertones of those at the peace talks suggested that peace was still a distant reality.
iniquity,wickedness or sin,"Your iniquity, said the preacher to the unrepentant sinner, ""will not be forgiven."""
injunction,an order or official warning,Judge Hale issued a temporary injunction to freeze the assets of the criminal suspect until a complete investigation could be conducted.
innate,"inborn, native, inherent",Quenton had great innate ability to both compose and play beautiful music.
innocuous,"harmless, inoffensive","Most domestic spider bites are completely innocuous, harming only creatures as tiny as their would-be prey."
innovate,to do something in an unprecedented way,"Young Lola came up with many unique, innovative strategies to get work done in fun and easy ways."
innuendo,an insinuation,"During the debate, the politician made several innuendos about the plight of those on Medicare and Medicaid."
inoculate,to vaccinate against a disease,"In order to increase immunity against malaria, the travelers to the South American jungles were inoculated two weeks before their trip."
inquisitor,"one who inquires, especially in a hostile manner",The inquisitor was instructed to ask convoluted questions in order to confuse the citizens and get them to confess to crimes they'd not committed.
insatiable,incapable of being satisfied,My appetite for fresh fish is truly insatiable; I can eat it every day of my life.
insidious,"appealing but imperceptibly harmful, seductive",Lisa's insidious compliments were designed to guide her victims into a false sense of security.
insinuate,to suggest directly or subtly,"I didn't mean to insinuate that you weren't welcome, insisted the embarrassed host."
insipid,"dull, boring",The show was terribly insipid from beginning to end; those who didn't fall asleep left early.
insolent,"rude, arrogant, overbearing",The kind of insolent behavior the boss's son showed demonstrates a lack of parental involvement and oversight in the young man's life.
instigate,"to urge, goad",Those who instigate fights are just as much to blame as those who actually engage in them.
insular,"separated and narrow-minded, tightknit, closed off",Sometimes insular communities adopt habits of mind that blind them to the concepts embraced by society at large.
insurgent,one who rebels,An insurgent force made its way toward the capital with ill intentions.
integral,necessary for completeness,The messengers played an integral role in the success of the negotiations.
interject,to insert between other things,Please allow me to interject one other idea before our final conclusion is reached.
interlocutor,someone who participates in a dialogue or conversation,"As one interlocutor said to another, ""Let's maintain our civility at all times during these discussions."""
interminable,without possibility of end,The questioning mind of men has been an attribute that has aided in their technical evolution and therefore must remain interminable.
intimation,an indirect suggestion,The coach's intimation was that his team would rally and defeat their arch enemy in the end.
intractable,"difficult to manipulate, unmanageable","The conduct of testosterone-driven athletes is intractable, especially after a big win."
intransigent,"refusing to compromise, often on an extreme opinion","The intransigent young woman said she was entitled to the house, the furniture, the car, the boat, and every penny in their joint account."
intrepid,brave in the face of danger,The intrepid soldier said he was just doing his job when he braved the bullets and flamethrowers to save his comrades.
inundate,to flood with abundance,"I'm completely inundated with housework, complained the new bride."
inure,to cause one to become accustomed or acclimated,"After a lifetime of living in the squalor of extreme poverty, Jason and his sister became inured to it and later saw it as normal and even proper."
invective,an angry verbal attack,"The officer's use of invectives against an insolent, very drunk driver earned him a reprimand."
inveterate,stubbornly established by habit,"After four years of serious college work, I'd become an inveterate studier and thinker."
inviolable,secure from assault,Those in control of their tempers are usually utterly inviolable to verbal attack.
irascible,easily angered,The irascible Daffy Duck is one of my all-time favorite cartoon characters.
iridescent,showing rainbow colors,There was an eerie iridescent glow coming from the side of the UFO crash.
irreverence,disrespect,The irreverence shown by the rap singers was such an insult to effectual worshippers.
irrevocable,incapable of being taken back,The Bill of Rights establishes Americans' irrevocable rights under the Constitution.
jubilant,"extremely joyful, happy","At her wedding, the bride just burst into jubilant song at the thought of actually having her perfect husband."
judicious,having or exercising sound judgment,Spending your grocery money on a quick trip to the casino is not very judicious at all.
juxtaposition,two things placed beside each other for the sake of implicit comparison,The clever detective saw the subtle difference after juxtaposing the two photographs.
knell,"the solemn sound of a bell, often indicating a death",Hearing the solemn knell of the bell told everyone that Mrs. Jenny May had been finally laid to rest.
kudos,praise for an achievement,"After that incredible performance, the reviewers gave cheerful kudos to the new singer."
laceration,"a cut, tear",The accident left everyone with bruises and lacerations from head to foot.
laconic,terse in speech or writing,The lecturer's laconic style caused him to seem less than sympathetic to his own cause.
languid,sluggish from fatigue or weakness,Brandon's bout with the flu left him languid and pale.
larceny,obtaining another's property by theft or trickery,"After years of victimizing senior citizens with acts of petty larceny, Slick Willy was finally nabbed."
largesse,great and lavish generosity in the giving of gifts,"On rare occasions, super-rich people demonstrate laudable largesse in the buying of homes for the poor and building free hospitals for the indigent."
latent,hidden but capable of being exposed,"The insidious germ lay latent in its host, waiting for some other sickness to strike first and make its victim vulnerable."
laudatory,expressing admiration or praise,Acts of kindness should be met with much more laudatory recognition than they are.
lavish,"a) given without limits, b) to give without limits",a) Lavish praise was heaped upon the officer for his demonstration of awesome valiance. b) Lavish praise upon the worthy that all others may see the virtue and imitate it.
legerdemain,"deception, sleight of hand",Marvin the Magnificent became world famous for his uncanny skill and legerdemain.
lenient,demonstrating tolerance or gentleness,Judge Mercilus chose not to be lenient in the least with the 10-time offender.
